문항번호,문제,해설,답,이미지여부,동영상여부
217,다음 중 도로교통법상 차로변경에 대한 설명으로 맞는 것은?<br>① 다리 위는 위험한 장소이기 때문에 백색실선으로 차로변경을 제한하는<br>경우가 많다.<br>② 차로변경을 제한하고자 하는 장소는 백색점선의 차선으로 표시되어 있다.<br>③ 차로변경 금지장소에서는 도로공사 등으로 장애물이 있어 통행이<br>불가능한 경우라도 차로변경을 해서는 안 된다.<br>④ 차로변경 금지장소이지만 안전하게 차로를 변경하면 법규위반이 아니다.,"도로의 파손 등으로 진행할 수 없을 경우에는 차로를 변경하여 주행하여야 하며, 차로변경<br>금지장소에서는 안전하게 차로를 변경하여도 법규 위반에 해당한다. 차로변경 금지선은 실선<br>으로 표시한다.",①,,
218,다음 중 교차로에 진입하여 신호가 바뀐 후에도 지나가지 못해 다른 차량 통행을<br>방해하는 행위인 “꼬리 물기”를 하였을 때의 위반 행위로 맞는 것은?<br>① 교차로 통행방법 위반 ② 일시정지 위반<br>③ 진로 변경 방법 위반 ④ 혼잡 완화 조치 위반,도로교통법 제25조(교차로 통행방법) 모든 차의 운전자는 신호기로 교통정리를 하고 있는<br>교차로에 들어가려는 경우에는 진행하려는 차로의 앞쪽에 있는 차의 상황에 따라 교차로(정<br>지선이 설치되어 있는 경우에는 그 정지선을 넘은 부분을 말한다)에 정지하게 되어 다른 차<br>의 통행에 방해가 될 우려가 있는 경우에는 그 교차로에 들어가서는 아니 된다.,①,,
219,고속도로의 가속차로에 대한 설명 중 옳은 것은?<br>① 고속도로 주행 차량이 진출로로 진출하기 위해 차로 변경할 수 있도록<br>유도하는 차로<br>② 고속도로로 진입하는 차량이 충분한 속도를 낼 수 있도록 유도하는 차로<br>③ 고속도로에서 앞지르기하고자 하는 차량이 속도를 낼 수 있도록 유도하는<br>차로<br>④ 오르막에서 대형 차량들의 속도 감소로 인한 영향을 줄이기 위해 설치한<br>차로,고속도로로 진입할 때 가속 차로를 이용하여 충분히 속도를 높여 주면서 본선으로 진입하여<br>야 본선의 주행 차량들에 영향을 최소화할 수 있다.,②,,
220,고속도로에 진입한 후 잘못 진입한 사실을 알았을 때 가장 적절한 행동은?<br>① 갓길에 정차한 후 비상점멸등을 켜고 고속도로 순찰대에 도움을 요청한다.<br>② 이미 진입하였으므로 다음 출구까지 주행한 후 빠져나온다.<br>③ 비상점멸등을 켜고 진입했던 길로 서서히 후진하여 빠져나온다.<br>④ 진입 차로가 2개 이상일 경우에는 유턴하여 돌아 나온다.,고속도로에 진입한 후 잘못 진입한 경우 다음 출구까지 주행한 후 빠져나온다.,②,,
221,"도로교통법상 도로에 설치하는 노면표시의 색이 잘못 연결된 것은?<br>① 안전지대 중 양방향 교통을 분리하는 표시는 노란색<br>② 버스전용차로표시는 파란색<br>③ 노면색깔유도선표시는 분홍색, 연한녹색 또는 녹색<br>④ 어린이보호구역 안에 설치하는 속도제한표시의 테두리선은 흰색","도로교통법 시행규칙 별표 6(안전표지의 종류, 만드는 방식 및 설치･관리기준) 일반기준 제2<br>호. 어린이보호구역 안에 설치하는 속도제한표시의 테두리선은 빨간색",④,,
222,도로교통법령상 고속도로 외의 도로에서 왼쪽 차로를 통행할 수 있는 차종으로 맞는<br>것은?<br>① 승용자동차 및 경형･소형･중형 승합자동차<br>② 대형승합자동차<br>③ 화물자동차<br>④ 특수자동차 및 이륜자동차,"도로교통법 시행규칙 별표 9(차로에 따른 통행차의 기준), 고속도로 외의 도로에서 왼쪽차로<br>는 승용자동차 및 경형･소형･중형 승합자동차가 통행할 수 있는 차종이다.",①,,
223,자동차 운행 시 유턴이 허용되는 구간은?<br>① 황색 실선으로 설치된 구간 ② 백색 실선으로 설치된 구간<br>③ 백색 점선으로 설치된 구간 ④ 청색 실선으로 설치된 구간,백색 점선으로 설치된 구간에서 유턴이 허용된다.,③,,
224,도로교통법령상 차로에 따른 통행구분 설명이다. 잘못된 것은?<br>① 차로의 순위는 도로의 중앙선쪽에 있는 차로부터 1차로로 한다.<br>② 느린 속도로 진행하여 다른 차의 정상적인 통행을 방해할 우려가 있는<br>때에는 그 통행하던 차로의 오른쪽 차로로 통행하여야 한다.<br>③ 일방통행 도로에서는 도로의 오른쪽부터 1차로 한다.<br>④ 편도 2차로 고속도로에서 모든 자동차는 2차로로 통행하는 것이 원칙이다.,도로교통법 시행규칙 제16조(차로에 따른 통행구분),③,,
225,자동차 운전자는 폭우로 가시거리가 50미터 이내인 경우 도로교통법령상 최고속도의<br>( )을 줄인 속도로 운행하여야 한다. ( )에 기준으로 맞는 것은?<br>① 100분의 50 ② 100분의 40<br>③ 100분의 30 ④ 100분의 20,도로교통법 시행규칙 제19조(자동차등과 노면전차의 속도) ② 비·안개·눈 등으로 인한 악천<br>후 시에는 제1항에 불구하고 다음 각 호의 기준에 의하여 감속 운행하여야 한다.<br>1. 최고속도의 100분의 20을 줄인 속도로 운행하여야 하는 경우<br>가. 비가 내려 노면이 젖어있는 경우<br>나. 눈이 20밀리미터 미만 쌓인 경우<br>2. 최고속도의 100분의 50을 줄인 속도로 운행하여야 하는 경우<br>가. 폭우·폭설·안개 등으로 가시거리가 100미터 이내인 경우<br>나. 노면이 얼어 붙은 경우<br>다. 눈이 20밀리미터 이상 쌓인 경우,①,,
226,도로교통법상 다인승전용차로를 통행할 수 있는 차의 기준으로 맞는 2가지는?<br>① 3명 이상 승차한 승용자동차 ② 3명 이상 승차한 화물자동차<br>③ 3명 이상 승차한 승합자동차 ④ 2명 이상 승차한 이륜자동차,도로교통법 시행령 별표 1(전용차로의 종류와 전용차로로 통행할 수 있는 차),"①,③",,
227,도로교통법상 보도와 차도의 구분이 없는 도로에 차로를 설치하는 때 보행자가<br>안전하게 통행할 수 있도록 그 도로의 양쪽에 설치하는 것은?<br>① 안전지대 ② 진로변경제한선 표시<br>③ 갓길 ④ 길가장자리구역,"도로교통법 제2조(정의) 제11호(길가장자리 구역), “길가장자리구역”이란 보도와 차도가 구<br>분되지 아니한 도로에서 보행자의 안전을 확보하기 위하여 안전표지 등으로 경계를 표시한<br>도로의 가장자리 부분을 말한다.",④,,
228,1·2차로가 좌회전 차로인 교차로의 통행 방법으로 맞는 것은?<br>① 승용자동차는 1차로만을 이용하여 좌회전하여야 한다.<br>② 승용자동차는 2차로만을 이용하여 좌회전하여야 한다.<br>③ 대형승합자동차는 1차로만을 이용하여 좌회전하여야 한다.<br>④ 대형승합자동차는 2차로만을 이용하여 좌회전하여야 한다.,좌회전 차로가 2개 이상 설치된 교차로에서 좌회전하려는 차는 그 설치된 좌회전 차로 내에<br>서 도로교통법 시행규칙 별표9의 고속도로외의 차로 구분에 따라 좌회전하여야 한다.,④,,
229,도로교통법상 차마의 통행방법 및 속도에 대한 설명으로 옳지 않은 것은?<br>① 신호등이 없는 교차로에서 좌회전할 때 직진하려는 다른 차가 있는 경우<br>직진 차에게 차로를 양보하여야 한다.<br>② 차도와 보도의 구별이 없는 도로에서 차량을 정차할 때 도로의 오른쪽<br>가장자리로부터 중앙으로 50센티미터 이상의 거리를 두어야 한다.<br>③ 교차로에서 앞 차가 우회전을 하려고 신호를 하는 경우 뒤따르는 차는 앞<br>차의 진행을 방해해서는 안 된다.<br>④ 자동차전용도로에서의 최저속도는 매시 40킬로미터이다.,"① 도로교통법 제26조 제4항, ② 도로교통법 시행령 제11조 제1항, 제1호, ③ 도로교통법<br>제25조 제4항, ④ 자동차전용도로에서의 최저속도는 매시 30킬로미터이다.(도로교통법 시<br>행규칙 제19조 제1항 제2호)",④,,
230,최고속도 매시 100킬로미터인 편도4차로 고속도로를 주행하는 적재중량 3톤의<br>화물자동차 최고속도는?<br>① 매시 60킬로미터 ② 매시 70킬로미터<br>③ 매시 80킬로미터 ④ 매시 90킬로미터,"도로교통법 시행규칙 제19조 제1항, 편도 2차로 이상 고속도로에서 적재중량 1.5톤을 초과<br>하는 화물자동차의 최고속도는 매시 80킬로미터이다.",③,,
231,차마의 운전자가 도로의 좌측으로 통행할 수 없는 경우로 맞는 것은?<br>① 안전표지 등으로 앞지르기를 제한하고 있는 경우<br>② 도로가 일방통행인 경우<br>③ 도로 공사 등으로 도로의 우측 부분을 통행할 수 없는 경우<br>④ 도로의 우측 부분의 폭이 차마의 통행에 충분하지 아니한 경우,도로교통법 제13조(차마의 통행) 제4항,①,,
232,교차로와 딜레마 존(Dilemma Zone)통과 방법 중 가장 거리가 먼 것은?<br>① 교차로 진입 전 교통 상황을 미리 확인하고 안전거리 유지와 감속운전으로<br>모든 상황을 예측하며 방어운전을 한다.<br>② 적색신호에서 교차로에 진입하면 신호위반에 해당된다.<br>③ 신호등이 녹색에서 황색으로 바뀔 때 앞바퀴가 정지선을 진입했다면<br>교차로 교통상황을 주시하며 신속하게 교차로 밖으로 진행한다.<br>④ 교차로에서 과속하는 상황일수록 딜레마 존(Dilemma Zone)은 더욱<br>짧아지게 되며 운전자의 결정도 그 만큼 빨라지게 된다.,도로교통법 시행규칙 제6조 제2항,④,,
233,다음은 차간거리에 대한 설명이다. 올바르게 표현된 것은?<br>① 공주거리는 위험을 발견하고 브레이크 페달을 밟아 브레이크가 듣기<br>시작할 때까지의 거리를 말한다.<br>② 정지거리는 앞차가 급정지할 때 추돌하지 않을 정도의 거리를 말한다.<br>③ 안전거리는 브레이크를 작동시켜 완전히 정지할 때까지의 거리를 말한다.<br>④ 제동거리는 위험을 발견한 후 차량이 완전히 정지할 때까지의 거리를<br>말한다.,①공주거리 ②안전거리 ③제동거리 ④정지거리,①,,
234,다음 중 앞지르기가 가능한 장소는?<br>① 교차로 ② 황색실선의 국도<br>③ 터널 안 ④ 황색점선의 지방도,"교차로, 황색실선 구간, 터널 안은 앞지르기 금지 장소이다.",④,,
235,다음 중 도로교통법상 교차로에서의 서행에 대한 설명으로 가장 적절한 것은?<br>① 차가 즉시 정지시킬 수 있는 정도의 느린 속도로 진행하는 것<br>② 매시 30킬로미터의 속도를 유지하여 진행하는 것<br>③ 사고를 유발하지 않을 만큼의 속도로 느리게 진행하는 것<br>④ 앞차의 급정지를 피할 만큼의 속도로 진행하는 것,도로교통법 제2조(정의) 제28호. “서행”(徐行)이란 운전자가 차를 즉시 정지시킬 수 있는 정<br>도의 느린 속도로 진행하는 것을 말한다.,①,,
236,다음은 도로에서 최고속도를 위반하여 자동차등(개인형 이동장치 제외)을 운전한<br>경우 처벌기준은?<br>① 시속 100킬로미터를 초과한 속도로 3회 이상 운전한 사람은 500만원<br>이하의 벌금 또는 구류<br>② 시속 100킬로미터를 초과한 속도로 3회 이상 운전한 사람은 1년 이하의<br>징역이나 500만원 이하의 벌금<br>③ 시속 100킬로미터를 초과한 속도로 2회 운전한 사람은 300만원 이하의<br>벌금<br>④ 시속 80킬로미터를 초과한 속도로 운전한 사람은 50만원 이하의 벌금<br>또는 구류,"도로교통법 제151조의2, 법 제153조, 같은 법 제154조 최고속도보다 시속 100킬로미터를<br>초과한 속도로 3회 이상 자동차등을 운전한 사람은 1년 이하의 징역이나 500만원 이하의<br>벌금, 최고속도보다 시속 100킬로미터를 초과한 속도로 자동차등을 운전한 사람은 100만원<br>이하의 벌금 또는 구류, 최고속도보다 시속 80킬로미터를 초과한 속도로 자동차 등을 운전한<br>사람 30만원 이하의 벌금 또는 구류",②,,
237,신호등이 없는 교차로에서 우회전하려 할 때 옳은 것은?<br>① 가급적 빠른 속도로 신속하게 우회전한다.<br>② 교차로에 선진입한 차량이 통과한 뒤 우회전한다.<br>③ 반대편에서 앞서 좌회전하고 있는 차량이 있으면 안전에 유의하며 함께<br>우회전한다.<br>④ 폭이 넓은 도로에서 좁은 도로로 우회전할 때는 다른 차량에 주의할<br>필요가 없다.,"교차로에서 우회전 할 때에는 서행으로 우회전해야 하고, 선진입한 좌회전 차량에 차로를 양<br>보해야 한다. 그리고 폭이 넓은 도로에서 좁은 도로로 우회전할 때에도 다른 차량에 주의해<br>야 한다.",②,,
238,"신호기의 신호가 있고 차량보조신호가 없는 교차로에서 우회전하려고 한다.<br>도로교통법령상 잘못된 것은?<br>① 차량신호가 적색등화인 경우, 횡단보도에서 보행자신호와 관계없이 정지선<br>직전에 일시정지 한다.<br>② 차량신호가 녹색등화인 경우, 정지선 직전에 일시정지하지 않고 우회전<br>한다.<br>③ 차량신호가 녹색화살표 등화인 경우, 횡단보도에서 보행자신호와 관계없이<br>정지선 직전에 일시정지 한다.<br>④ 차량신호에 관계없이 다른 차량의 교통을 방해하지 않은 때 일시정지하지<br>않고 우회전한다.","도로교통법 제25조, 도로교통법시행령 별표2, 도로교통법시행규칙 별표2 ① 차량신호가 적<br>색등화인 경우, 횡단보도에서 보행자신호와 관계없이 정지선 직전에 일시정지 후 신호에 따<br>라 진행하는 다른 차량의 교통을 방해하지 않고 우회전 한다. ② 차량신호가 녹색 등화인 경<br>우 횡단보도에서 일지정지 의무는 없다. ③ 차량신호가 녹색화살표 등화인 경우, 횡단보도에<br>서 보행자신호와 관계없이 정지선 직전에 일시정지 후 신호에 따라 진행하는 다른 차량의<br>교통을 방해하지 않고 우회전 한다. ※ 일시정지하지 않는 경우 신호위반, 일시정지하였으나<br>보행자 통행을 방해한 경우 보행자 보호의무위반으로 처벌된다.",④,,
